Invoice Number,Customer Name,Ship To,Date,Ship Mode,Balance Due,Item,Quantity,Rate,Amount
35336,"Anthony Johnson
Ship To","94110, San
Francisco, California,
United States
Dec 28 2012
Standard Class
",Ship Mode,Balance Due,,"$4,607.71",3985,921.54,95.36
35337,"Anthony Johnson
Ship To","94110, San
Francisco, California,
United States
Dec 28 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-3278",06,43.06,8.61
35338,"Anthony Johnson
Ship To","94110, San
Francisco, California,
United States
Dec 28 2012
Standard Class
",Ship Mode,Balance Due,,"Phones, Technology, TEC-PH-5244",93,575.93,115.19
35339,"Anthony Johnson
Ship To","94110, San
Francisco, California,
United States
Dec 28 2012
Standard Class
",Ship Mode,Balance Due,,,,,
,Jun 5,,Balance Due,,,,,,
16013,Anthony O,"Doncaster, England,
United Kingdom
Dec 25 2012
Standard Class
",Ship Mode,Balance Due,,,,,
25068,Anthony O,"Sydney, New South
Wales, Australia
Dec 08 2012
Standard Class
",Ship Mode,Balance Due,,"$5,175.17",5356,517.52,115.38
11116,"Anthony Rawles
Ship To","Messina, Sicily, Italy
May 12 2012
Second Class
",Ship Mode,Balance Due,,,,,
34444,"Anthony Rawles
Ship To","90004, Los Angeles,
California, United
States
Jun 29 2012
Second Class
",Ship Mode,Balance Due,,"Art, Office Supplies, OFF-AR-3446",00,162.00,1.53
16997,"Anthony Witt
Ship To","Amsterdam, North
Holland, Netherlands
Nov 29 2012
First Class
",Ship Mode,Balance Due,,,,,
6470,"Anthony Witt
Ship To","Bayamo, Granma,
Cuba
Jun 12 2012
Standard Class
",Ship Mode,Balance Due,,"$9,073.26",3611,18.15,113.03
36493,"Arianne Irving
Ship To","98031, Kent,
Washington, United
States
May 09 2012
Standard Class
",Ship Mode,Balance Due,,"Envelopes, Office Supplies, OFF-EN-6212",39,474.39,10.65
36494,"Arianne Irving
Ship To","98031, Kent,
Washington, United
States
May 09 2012
Standard Class
",Ship Mode,Balance Due,,"Phones, Technology, TEC-PH-5085",00,218.00,43.60
38989,"Arianne Irving
Ship To","94513, Brentwood,
California, United
States
Dec 28 2012
Standard Class
",Ship Mode,Balance Due,,"Labels, Office Supplies, OFF-LA-3083",80,532.80,7.90
38990,"Arianne Irving
Ship To","94513, Brentwood,
California, United
States
Dec 28 2012
Standard Class
",Ship Mode,Balance Due,,"$1,279.87",4793,255.97,24.01
39748,"Arianne Irving
Ship To","94122, San
Francisco, California,
United States
Apr 27 2012
First Class
",Ship Mode,Balance Due,,,,,
20228,"Art Ferguson
Ship To","Ghent, East Flanders,
Belgium
Sep 27 2012
Standard Class
",Ship Mode,Balance Due,,,,,
910,"Art Ferguson
Ship To","Santa Clara, Villa
Clara, Cuba
Oct 26 2012
Standard Class
",Ship Mode,Balance Due,,,,,
911,"Art Ferguson
Ship To","Santa Clara, Villa
Clara, Cuba
Oct 26 2012
Standard Class
",Ship Mode,Balance Due,,,,,
34581,"Art Foster
Ship To","45014, Fairfield,
Ohio, United States
Sep 11 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-5636",47,447.47,313.23
38851,"Art Foster
Ship To","19134, Philadelphia,
Pennsylvania, United
States
May 09 2012
Second Class
",Ship Mode,Balance Due,,,,,
38852,"Art Foster
Ship To","19134, Philadelphia,
Pennsylvania, United
States
May 09 2012
Second Class
",Ship Mode,Balance Due,,"Art, Office Supplies, OFF-AR-3973",60,111.60,22.32
31669,"Arthur Gainer
Ship To","85705, Tucson,
Arizona, United
States
Jul 22 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-6388",80,40.80,28.56
31670,"Arthur Gainer
Ship To","85705, Tucson,
Arizona, United
States
Jul 22 2012
Standard Class
",Ship Mode,Balance Due,,,,,
31671,"Arthur Gainer
Ship To","85705, Tucson,
Arizona, United
States
Jul 22 2012
Standard Class
",Ship Mode,Balance Due,,1,324,9.24,9.24
31672,"Arthur Gainer
Ship To","85705, Tucson,
Arizona, United
States
Jul 22 2012
Standard Class
",Ship Mode,Balance Due,,"$4,790.40",5236,958.08,88.46
32438,"Arthur Prichep
Ship To","90045, Los Angeles,
California, United
States
Sep 28 2012
Standard Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-5160",20,409.20,14.69
32439,"Arthur Prichep
Ship To","90045, Los Angeles,
California, United
States
Sep 28 2012
Standard Class
",Ship Mode,Balance Due,,"Fasteners, Office Supplies, OFF-FA-6192",88,34.88,1.29
32440,"Arthur Prichep
Ship To","90045, Los Angeles,
California, United
States
Sep 28 2012
Standard Class
",Ship Mode,Balance Due,,1,223,6.48,6.48
32441,"Arthur Prichep
Ship To","90045, Los Angeles,
California, United
States
Sep 28 2012
Standard Class
",Ship Mode,Balance Due,,"$1,372.64",6131,274.53,81.78
32442,"Arthur Prichep
Ship To","90045, Los Angeles,
California, United
States
Sep 28 2012
Standard Class
",Ship Mode,Balance Due,,"Storage, Office Supplies, OFF-ST-4271",18,62.18,5.67
35041,"Arthur Prichep
Ship To","29730, Rock Hill,
South Carolina,
United States
Oct 23 2012
Same Day
",Ship Mode,Balance Due,,"Fasteners, Office Supplies, OFF-FA-3040",55,35.55,5.06
37075,"Arthur Prichep
Ship To","90008, Los Angeles,
California, United
States
Nov 10 2012
Standard Class
",Ship Mode,Balance Due,,"Art, Office Supplies, OFF-AR-2875",44,91.44,4.02
37076,"Arthur Prichep
Ship To","90008, Los Angeles,
California, United
States
Nov 10 2012
Standard Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-4673",65,112.65,22.53
38316,"Arthur Prichep
Ship To","80219, Denver,
Colorado, United
States
Aug 22 2012
Standard Class
",Ship Mode,Balance Due,,3,1976,15.55,46.66
38317,"Arthur Prichep
Ship To","80219, Denver,
Colorado, United
States
Aug 22 2012
Standard Class
",Ship Mode,Balance Due,,"Supplies, Office Supplies, OFF-SU-3000",80,6.80,1.36
38318,"Arthur Prichep
Ship To","80219, Denver,
Colorado, United
States
Aug 22 2012
Standard Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-5679",67,12.67,2.53
38319,"Arthur Prichep
Ship To","80219, Denver,
Colorado, United
States
Aug 22 2012
Standard Class
",Ship Mode,Balance Due,,"$1,292.76",3814,258.55,16.43
38320,"Arthur Prichep
Ship To","80219, Denver,
Colorado, United
States
Aug 22 2012
Standard Class
",Ship Mode,Balance Due,,6,1931,31.10,186.62
38321,"Arthur Prichep
Ship To","80219, Denver,
Colorado, United
States
Aug 22 2012
Standard Class
",Ship Mode,Balance Due,,"$2,007.50",6546,401.50,18.53
33503,"Arthur Wiediger
Ship To","60505, Aurora,
Illinois, United States
Jul 13 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-2905",52,209.52,167.62
33504,"Arthur Wiediger
Ship To","60505, Aurora,
Illinois, United States
Jul 13 2012
Standard Class
",Ship Mode,Balance Due,,"Phones, Technology, TEC-PH-4800",09,153.09,30.62
31852,"Ashley Jarboe
Ship To","28403, Wilmington,
North Carolina,
United States
Mar 02 2012
Second Class
",Ship Mode,Balance Due,,"Art, Office Supplies, OFF-AR-6632",82,77.82,15.56
7804,"Ashley Jarboe
Ship To","Hermosillo, Sonora,
Mexico
Sep 11 2012
First Class
",Ship Mode,Balance Due,,,,,
12655,"Astrea Jones
Ship To","Paris, Ile",Ship Mode,Balance Due,,,,,
31788,"Astrea Jones
Ship To","14609, Rochester,
New York, United
States
Sep 13 2012
Standard Class
",Ship Mode,Balance Due,,,,,
31789,"Astrea Jones
Ship To","14609, Rochester,
New York, United
States
Sep 13 2012
Standard Class
",Ship Mode,Balance Due,,"Envelopes, Office Supplies, OFF-EN-3834",21,33.21,1.55
39561,"Astrea Jones
Ship To","10035, New York City,
New York, United
States
Dec 29 2012
Standard Class
",Ship Mode,Balance Due,,"Appliances, Office Supplies, OFF-AP-4931",82,368.82,13.29
39562,"Astrea Jones
Ship To","10035, New York City,
New York, United
States
Dec 29 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-3732",14,248.14,49.63
23962,"Barbara Fisher
Ship To","Guangzhou,
Guangdong, China
Aug 07 2012
Same Day
",Ship Mode,Balance Due,,,,,
33134,"Barbara Fisher
Ship To","28205, Charlotte,
North Carolina,
United States
Jul 31 2012
Standard Class
",Ship Mode,Balance Due,,"Labels, Office Supplies, OFF-LA-5976",63,52.63,10.53
33135,"Barbara Fisher
Ship To","28205, Charlotte,
North Carolina,
United States
Jul 31 2012
Standard Class
",Ship Mode,Balance Due,,"Furnishings, Furniture, FUR-FU-2877",51,176.51,35.30
33136,"Barbara Fisher
Ship To","28205, Charlotte,
North Carolina,
United States
Jul 31 2012
Standard Class
",Ship Mode,Balance Due,,"Appliances, Office Supplies, OFF-AP-4718",92,62.92,12.58
33137,"Barbara Fisher
Ship To","28205, Charlotte,
North Carolina,
United States
Jul 31 2012
Standard Class
",Ship Mode,Balance Due,,2,1916,78.30,156.61
39349,"Barbara Fisher
Ship To","10009, New York City,
New York, United
States
Jul 13 2012
Second Class
",Ship Mode,Balance Due,,3,315,17.94,53.82
40184,"Barry Blumstein
Ship To","90036, Los Angeles,
California, United
States
Jul 26 2012
Second Class
",Ship Mode,Balance Due,,"Storage, Office Supplies, OFF-ST-5766",56,552.56,32.27
38346,"Barry Franz
Ship To","80013, Aurora,
Colorado, United
States
Sep 24 2012
Standard Class
",Ship Mode,Balance Due,,"Art, Office Supplies, OFF-AR-3971",15,29.15,5.83
38734,"Barry Französisch
Ship To","98105, Seattle,
Washington, United
States
Feb 16 2012
Standard Class
",Ship Mode,Balance Due,,"Binders, Office Supplies, OFF-BI-5642",80,106.80,21.36
2765,"Barry Gonzalez
Ship To","Juiz de Fora, Minas
Gerais, Brazil
Dec 20 2012
First Class
",Ship Mode,Balance Due,,,,,
39057,"Barry Gonzalez
Ship To","38109, Memphis,
Tennessee, United
States
Dec 05 2012
Standard Class
",Ship Mode,Balance Due,,2,1909,42.21,84.42
41083,"Barry Gonzalez
Ship To","23666, Hampton,
Virginia, United
States
Nov 04 2012
Same Day
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-4422",50,749.50,15.26
,Jun 5,,Balance Due,,,,,,
12169,"Barry Weirich
Ship To","Cologne, North
Rhine",Ship Mode,Balance Due,,,,,
40737,"Barry Weirich
Ship To","10035, New York City,
New York, United
States
May 24 2012
Standard Class
",Ship Mode,Balance Due,,"Paper, Office Supplies, OFF-PA-6213",24,29.24,1.31
9907,"Barry Weirich
Ship To","Limeira, São Paulo,
Brazil
Apr 03 2012
Standard Class
",Ship Mode,Balance Due,,"$5,319.84",3686,10.64,107.66
20674,"Bart Watters
Ship To","Beijing, Beijing,
China
Jun 16 2012
First Class
",Ship Mode,Balance Due,,,,,
30764,"Bart Watters
Ship To","Christchurch,
Canterbury, New
Zealand
May 22 2012
Standard Class
",Ship Mode,Balance Due,,,,,
30241,"Becky Martin
Ship To","Jakarta, Jakarta,
Indonesia
Nov 22 2012
First Class
",Ship Mode,Balance Due,,"$2,369.24",4210,402.77,226.73
12051,"Becky Pak
Ship To","London, England,
United Kingdom
Aug 09 2012
Standard Class
",Ship Mode,Balance Due,,,,,
3801,"Becky Pak
Ship To","Holguín, Holguín,
Cuba
Sep 15 2012
First Class
",Ship Mode,Balance Due,,,,,
17220,"Ben Peterman
Ship To","London, England,
United Kingdom
Dec 09 2012
First Class
",Ship Mode,Balance Due,,"Bookcases, Furniture, FUR-BO-5941",12,609.12,60.91
17222,"Ben Peterman
Ship To","London, England,
United Kingdom
Dec 09 2012
First Class
",Ship Mode,Balance Due,,"$1,109.05",4730,110.91,207.93
12333,"Ben Wallace
Ship To","Dieppe, Normandy,
France
Jun 25 2012
First Class
",Ship Mode,Balance Due,,"$1,408.10",5787,140.81,218.81
24938,"Benjamin Farhat
Ship To","Kanpur, Uttar
Pradesh, India
Feb 16 2012
Standard Class
",Ship Mode,Balance Due,,,,,
11954,"Benjamin Patterson
Ship To","Treviso, Veneto, Italy
Mar 31 2012
First Class
",Ship Mode,Balance Due,,,,,
22999,"Benjamin Patterson
Ship To","Surat, Gujarat, India
Feb 24 2013
Same Day
",Ship Mode,Balance Due,,,,,
42921,"Benjamin Patterson
Ship To","Port Harcourt, Rivers,
Nigeria
Aug 01 2012
First Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-5774",80,550.80,385.56
17062,"Benjamin Venier
Ship To","London, England,
United Kingdom
Jun 01 2012
Standard Class
",Ship Mode,Balance Due,,"$8,210.16",4965,821.02,149.09
12204,"Berenike Kampe
Ship To","Bonn, North Rhine",Ship Mode,Balance Due,,,,,
3924,"Beth Fritzler
Ship To","La Romana, La
Romana, Dominican
Republic
Dec 22 2012
Second Class
",Ship Mode,Balance Due,,"$2,261.66",4530,452.33,176.21
1286,"Beth Thompson
Ship To","Lázaro Cárdenas,
Michoacán, Mexico
Nov 01 2012
Second Class
",Ship Mode,Balance Due,,,,,
11631,"Bill Donatelli
Ship To","Pontoise, Ile",Ship Mode,Balance Due,,"$6,944.40",4731,694.44,102.56
14021,"Bill Eplett
Ship To","Kingswood, England,
United Kingdom
Mar 07 2013
Second Class
",Ship Mode,Balance Due,,,,,
27119,"Bill Eplett
Ship To","Ipoh, Perak, Malaysia
Jun 28 2012
Second Class
",Ship Mode,Balance Due,,,,,
18470,"Bill Stewart
Ship To","Oyonnax, Auvergne",Ship Mode,Balance Due,,"$2,312.95",4193,346.94,195.59
3526,"Bill Stewart
Ship To","Matagalpa,
Matagalpa, Nicaragua
Feb 26 2012
Second Class
",Ship Mode,Balance Due,,"$4,941.60",5997,9.88,107.47
3527,"Bill Stewart
Ship To","Matagalpa,
Matagalpa, Nicaragua
Feb 26 2012
Second Class
",Ship Mode,Balance Due,,,,,
49218,"Bobby Elias
Ship To","Kindia, Kindia,
Guinea
Apr 07 2012
First Class
",Ship Mode,Balance Due,,"Appliances, Office Supplies, OFF-AP-4963",08,526.08,95.85
21858,"Brad Eason
Ship To","Chengdu, Sichuan,
China
Mar 03 2012
Standard Class
",Ship Mode,Balance Due,,,,,
27645,"Brad Norvell
Ship To","Kuala Lumpur, Kuala
Lumpur, Malaysia
Nov 29 2012
First Class
",Ship Mode,Balance Due,,,,,
16669,"Brad Thomas
Ship To","Beauvais, Nord",Ship Mode,Balance Due,,"$6,265.35",3865,626.54,152.31
14229,"Bradley Drucker
Ship To","Lisbon, Lisboa,
Portugal
Dec 16 2012
Second Class
",Ship Mode,Balance Due,,,,,
28557,"Bradley Talbott
Ship To","Muzaffarpur, Bihar,
India
Feb 26 2013
Standard Class
",Ship Mode,Balance Due,,,,,
16305,"Brendan Dodson
Ship To","Leipzig, Saxony,
Germany
Nov 01 2012
Standard Class
",Ship Mode,Balance Due,,"$3,786.18",5442,378.62,89.16
20145,"Brendan Dodson
Ship To","Cambridge, England,
United Kingdom
Feb 22 2013
First Class
",Ship Mode,Balance Due,,,,,
7694,"Brendan Dodson
Ship To","Cuajimalpa, Distrito
Federal, Mexico
Jun 12 2012
Same Day
",Ship Mode,Balance Due,,"$1,895.74",3688,3.79,78.28
7695,"Brendan Dodson
Ship To","Cuajimalpa, Distrito
Federal, Mexico
Jun 12 2012
Same Day
",Ship Mode,Balance Due,,,,,
20958,"Brendan Murry
Ship To","Ningbo, Zhejiang,
China
Sep 01 2012
Standard Class
",Ship Mode,Balance Due,,,,,
26986,"Brendan Murry
Ship To","Brisbane,
Queensland,
Australia
Aug 28 2012
Standard Class
",Ship Mode,Balance Due,,,,,
15587,"Brendan Sweed
Ship To","Sannois, Ile",Ship Mode,Balance Due,,"$3,226.39",3803,483.96,113.86
3187,"Brendan Sweed
Ship To","Mejicanos, San
Salvador, El Salvador
Aug 24 2012
Standard Class
",Ship Mode,Balance Due,,,,,
30860,"Brian Derr
Ship To","Hastings, Hawke",Ship Mode,Balance Due,,,,,
42321,"Brian Stugart
Ship To",Cluj,Ship Mode,Balance Due,,,,,
4891,"Brooke Gillingham
Ship To","Culiacán, Sinaloa,
Mexico
Dec 07 2012
Same Day
",Ship Mode,Balance Due,,,,,
5809,"Brooke Gillingham
Ship To","Celaya, Guanajuato,
Mexico
Dec 08 2012
Standard Class
",Ship Mode,Balance Due,,,,,
2535,"Bruce Degenhardt
Ship To","Mixco, Guatemala,
Guatemala
Jul 19 2012
Same Day
",Ship Mode,Balance Due,,,,,
9931,"Bruce Degenhardt
Ship To","Soyapango, San
Salvador, El Salvador
Jan 01 2013
First Class
",Ship Mode,Balance Due,,,,,
27230,"Bruce Geld
Ship To","Kuala Lumpur, Kuala
Lumpur, Malaysia
Jul 18 2012
First Class
",Ship Mode,Balance Due,,,,,
27231,"Bruce Geld
Ship To","Kuala Lumpur, Kuala
Lumpur, Malaysia
Jul 18 2012
First Class
",Ship Mode,Balance Due,,,,,
25045,"Bruce Stewart
Ship To","Cairns, Queensland,
Australia
Jul 19 2012
Second Class
",Ship Mode,Balance Due,,,,,
6183,"Bruce Stewart
Ship To","Cuenca, Azuay,
Ecuador
Sep 12 2012
Standard Class
",Ship Mode,Balance Due,,,,,
9354,"Bruce Stewart
Ship To","Tecomán, Colima,
Mexico
Oct 24 2012
Second Class
",Ship Mode,Balance Due,,"$1,292.54",3755,258.51,82.53
16603,"Bryan Davis
Ship To","Bressuire, Aquitaine",Ship Mode,Balance Due,,"$4,865.86",5355,729.88,183.14
21030,"Bryan Mills
Ship To","Zhenjiang, Jiangsu,
China
Mar 09 2012
First Class
",Ship Mode,Balance Due,,,,,
28645,"Bryan Mills
Ship To","Tiruchchirappalli,
Tamil Nadu, India
Aug 03 2012
Standard Class
",Ship Mode,Balance Due,,,,,
28646,"Bryan Mills
Ship To","Tiruchchirappalli,
Tamil Nadu, India
Aug 03 2012
Standard Class
",Ship Mode,Balance Due,,,,,
49041,"Bryan Mills
Ship To","Guelma, Guelma,
Algeria
May 23 2012
First Class
",Ship Mode,Balance Due,,,,,
41361,"Bryan Spruell
Ship To","Cape Town, Western
Cape, South Africa
Jul 06 2012
Standard Class
",Ship Mode,Balance Due,,,,,
46338,"Bryan Spruell
Ship To","Luanda, Luanda,
Angola
Oct 09 2012
Standard Class
",Ship Mode,Balance Due,,,,,
16144,"Candace McMahon
Ship To","Fontainebleau, Ile",Ship Mode,Balance Due,,,,,
21620,"Cari Sayre
Ship To","Luoyang, Fujian,
China
Aug 18 2012
Standard Class
",Ship Mode,Balance Due,,,,,
21621,"Cari Sayre
Ship To","Luoyang, Fujian,
China
Aug 18 2012
Standard Class
",Ship Mode,Balance Due,,,,,
21624,"Cari Sayre
Ship To","Luoyang, Fujian,
China
Aug 18 2012
Standard Class
",Ship Mode,Balance Due,,,,,
8137,"Cari Sayre
Ship To","Oruro, Oruro, Bolivia
Nov 03 2012
Second Class
",Ship Mode,Balance Due,,,,,
2027,"Carl Jackson
Ship To","Cabo de Santo
Agostinho,
Pernambuco, Brazil
Oct 14 2012
First Class
",Ship Mode,Balance Due,,,,,
44270,"Carl Weiss
Ship To","Beirut, Beirut,
Lebanon
Aug 08 2012
Standard Class
",Ship Mode,Balance Due,,"Chairs, Furniture, FUR-CH-4655",14,457.14,82.46
25242,"Carlos Daly
Ship To","Shanghai, Shanghai,
China
Mar 11 2012
Standard Class
",Ship Mode,Balance Due,,,,,
18994,"Carlos Soltero
Ship To","Haninge, Stockholm,
Sweden
Jan 09 2013
First Class
",Ship Mode,Balance Due,,,,,
3719,"Carlos Soltero
Ship To","Pelotas, Rio Grande
do Sul, Brazil
Feb 24 2012
Same Day
",Ship Mode,Balance Due,,"$1,002.95",3709,2.01,69.65
27720,"Carol Adams
Ship To","Fuji, Shizuoka, Japan
Feb 10 2012
Standard Class
",Ship Mode,Balance Due,,,,,
42483,"Carol Darley
Ship To","Dakar, Dakar,
Senegal
Apr 21 2012
First Class
",Ship Mode,Balance Due,,"Storage, Office Supplies, OFF-ST-4266",32,829.32,99.68
15981,"Carol Triggs
Ship To","Peterborough,
England, United
Kingdom
Jan 12 2013
Second Class
",Ship Mode,Balance Due,,,,,
19288,"Caroline Jumper
Ship To","Lucca, Tuscany, Italy
Aug 23 2012
Same Day
",Ship Mode,Balance Due,,"Phones, Technology, TEC-PH-3803",39,364.39,145.76
24158,"Caroline Jumper
Ship To","Ho Chi Minh City, Ho
Chí Minh City,
Vietnam
Jan 25 2013
First Class
",Ship Mode,Balance Due,,"$1,581.03",5702,268.78,92.86
7640,"Caroline Jumper
Ship To","Hermosillo, Sonora,
Mexico
Jun 16 2012
Standard Class
",Ship Mode,Balance Due,,,,,
24210,"Catherine Glotzbach
Ship To","Yuci, Shanxi, China
Dec 09 2012
First Class
",Ship Mode,Balance Due,,,,,
27988,"Cathy Hwang
Ship To","Jining, Shandong,
China
Apr 11 2012
Standard Class
",Ship Mode,Balance Due,,,,,
11753,"Chad Cunningham
Ship To","Rouen, Normandy,
France
Jan 04 2013
Same Day
",Ship Mode,Balance Due,,,,,
1935,"Chad Cunningham
Ship To","Guasave, Sinaloa,
Mexico
Feb 03 2013
Second Class
",Ship Mode,Balance Due,,"$1,796.04",4776,3.59,75.25
51126,"Charles Sheldon
Ship To","Arusha, Arusha,
Tanzania
Jan 18 2012
First Class
",Ship Mode,Balance Due,,"$2,985.55",4266,298.56,132.29
27583,"Charlotte Melton
Ship To","Gujranwala, Punjab,
Pakistan
Jun 05 2012
Standard Class
",Ship Mode,Balance Due,,,,,
15521,"Chris Selesnick
Ship To","Troisdorf, North
Rhine",Ship Mode,Balance Due,,"$3,645.68",5412,364.57,95.99
10338,"Christina Anderson
Ship To","Littlehampton,
England, United
Kingdom
Sep 26 2012
Standard Class
",Ship Mode,Balance Due,,,,,
10340,"Christina Anderson
Ship To","Littlehampton,
England, United
Kingdom
Sep 26 2012
Standard Class
",Ship Mode,Balance Due,,,,,
48914,"Christina Anderson
Ship To","Severodvinsk,
Arkhangel",Ship Mode,Balance Due,,"Appliances, Office Supplies, OFF-AP-3572",46,302.46,71.67
21707,"Christina DeMoss
Ship To","Amritsar, Punjab,
India
Feb 06 2013
Standard Class
",Ship Mode,Balance Due,,,,,
50073,"Christine Phan
Ship To","Rabat, Rabat",Ship Mode,Balance Due,,,,,
22699,"Christopher Martinez
Ship To","Manila, National
Capital, Philippines
Feb 15 2012
Standard Class
",Ship Mode,Balance Due,,,,,
22701,"Christopher Martinez
Ship To","Manila, National
Capital, Philippines
Feb 15 2012
Standard Class
",Ship Mode,Balance Due,,,,,
50636,"Christopher Martinez
Ship To","Quelimane,
Zambezia,
Mozambique
Jan 13 2013
Second Class
",Ship Mode,Balance Due,,"Bookcases, Furniture, FUR-BO-5961",72,783.72,101.96
8015,"Christopher Martinez
Ship To","Monterrey, Nuevo
León, Mexico
Dec 12 2012
Standard Class
",Ship Mode,Balance Due,,,,,
11911,"Christy Brittain
Ship To","Drancy, Ile",Ship Mode,Balance Due,,"$5,598.94",4055,559.89,106.98
45227,"Chuck Magee
Ship To","Jerusalem,
Jerusalem, Israel
Apr 24 2012
Standard Class
",Ship Mode,Balance Due,,,,,
48363,"Chuck Magee
Ship To","Hradec Kralove,
Hradec Kralove,
Czech Republic
Oct 03 2012
Standard Class
",Ship Mode,Balance Due,,,,,
42196,"Chuck Sachs
Ship To","Wad Madani, Gezira,
Sudan
Jul 31 2012
Standard Class
",Ship Mode,Balance Due,,,,,
29381,"Cindy Chapman
Ship To","Manila, National
Capital, Philippines
Aug 12 2012
Standard Class
",Ship Mode,Balance Due,,,,,
49559,"Cindy Schnelling
Ship To","Ad Diwaniyah, Al
Qadisiyah, Iraq
Jan 21 2013
Second Class
",Ship Mode,Balance Due,,,,,
48022,"Clay Cheatham
Ship To","Kharkiv, Kharkiv,
Ukraine
Jun 02 2012
First Class
",Ship Mode,Balance Due,,"Tables, Furniture, FUR-TA-5059",15,855.15,325.04
48974,"Clay Ludtke
Ship To","Yaounde, Centre,
Cameroon
Jun 19 2012
Same Day
",Ship Mode,Balance Due,,"Machines, Technology, TEC-MA-5497",80,703.80,104.28
29578,"Clay Rozendal
Ship To","Ho Chi Minh City, Ho
Chí Minh City,
Vietnam
Aug 11 2012
Second Class
",Ship Mode,Balance Due,,,,,
17534,"Corey Catlett
Ship To","Iserlohn, North
Rhine",Ship Mode,Balance Due,,,,,
17535,"Corey Catlett
Ship To","Iserlohn, North
Rhine",Ship Mode,Balance Due,,"$1,305.88",4702,130.59,78.08
23720,"Corey Catlett
Ship To","Ninghai, Shandong,
China
Jul 15 2012
Standard Class
",Ship Mode,Balance Due,,,,,
6832,"Corey Catlett
Ship To","Chapecó, Santa
Catarina, Brazil
Nov 25 2012
Standard Class
",Ship Mode,Balance Due,,,,,
23213,"Corey Roper
Ship To","Seoul, Seoul, South
Korea
Jul 29 2012
Second Class
",Ship Mode,Balance Due,,,,,
6073,"Corey Roper
Ship To","São Paulo, São
Paulo, Brazil
May 23 2012
Standard Class
",Ship Mode,Balance Due,,,,,
11877,Corey,"Worcester, England,
United Kingdom
Sep 13 2012
Same Day
",Ship Mode,Balance Due,,,,,
4723,Corey,"Carora, Lara,
Venezuela
Jun 19 2012
First Class
",Ship Mode,Balance Due,,"$2,294.78",5840,917.91,176.18
17848,"Corinna Mitchell
Ship To","Laval, Pays de la
Loire, France
Nov 05 2012
First Class
",Ship Mode,Balance Due,,"$6,600.04",5007,990.01,390.20
28192,"Craig Carreira
Ship To","Lismore, New South
Wales, Australia
Oct 21 2012
Standard Class
",Ship Mode,Balance Due,,"$8,749.00",4079,874.90,128.26
17327,"Craig Leslie
Ship To","Maubeuge, Nord",Ship Mode,Balance Due,,"$1,304.64",3904,130.46,88.52
20974,"Craig Leslie
Ship To","Kulti, West Bengal,
India
Nov 13 2012
Standard Class
",Ship Mode,Balance Due,,,,,
49797,"Craig Molinari
Ship To","Galati, Galati,
Romania
May 30 2012
Standard Class
",Ship Mode,Balance Due,,,,,
29681,"Craig Reiter
Ship To","Singapore,
Singapore, Singapore
Nov 24 2012
Standard Class
",Ship Mode,Balance Due,,,,,
2489,"Cyma Kinney
Ship To","Guasave, Sinaloa,
Mexico
Sep 13 2012
Same Day
",Ship Mode,Balance Due,,"$4,959.06",4775,9.92,140.70
13985,"Cynthia Delaney
Ship To",La Seyne,Ship Mode,Balance Due,,,,,
13186,"Cynthia Voltz
Ship To","Ludwigshafen am
Rhein, Rhineland",Ship Mode,Balance Due,,"$3,285.01",4522,328.50,97.48
13187,"Cynthia Voltz
Ship To","Ludwigshafen am
Rhein, Rhineland",Ship Mode,Balance Due,,"$2,140.56",5954,214.06,69.10
43619,"Cynthia Voltz
Ship To","Istanbul, Istanbul,
Turkey
Sep 07 2012
Second Class
",Ship Mode,Balance Due,,,,,
50000,"Cynthia Voltz
Ship To","Maseru, Maseru,
Lesotho
Apr 26 2012
First Class
",Ship Mode,Balance Due,,,,,
2034,"Damala Kotsonis
Ship To","Santo Domingo,
Santo Domingo,
Dominican Republic
Jun 29 2012
Standard Class
",Ship Mode,Balance Due,,,,,
50470,"Damala Kotsonis
Ship To","Saida, Saida, Algeria
Dec 21 2012
First Class
",Ship Mode,Balance Due,,,,,
28046,"Dan Lawera
Ship To","Brisbane,
Queensland,
Australia
Jan 10 2012
First Class
",Ship Mode,Balance Due,,,,,
43420,"Dan Lawera
Ship To","Kassala, Kassala,
Sudan
Aug 29 2012
Second Class
",Ship Mode,Balance Due,,,,,
4344,"Dana Kaydos
Ship To","Monterrey, Nuevo
León, Mexico
Jun 06 2012
Standard Class
",Ship Mode,Balance Due,,"$3,387.13",3596,6.77,115.47
19346,"Daniel Raglin
Ship To","Berlin, Berlin,
Germany
Jun 27 2012
Standard Class
",Ship Mode,Balance Due,,"$1,325.66",4849,265.13,67.81
